A1BG,0.3577172,"Interacting"
A1CF,0.2110105,"Interacting"
A2ML1,0.3875509,"Non-interacting"
A4GALT,0.1095376,"Non-interacting"
A4GNT,0.2895678,"Non-interacting"
AAAS,0.1722821,"Non-interacting"
AACS,0.1923292,"Non-interacting"
AADACL2,0.443119,"Interacting"
AADACL3,0.5921857,"Interacting"
AADACL4,0.4553538,"Interacting"
AADAT,0.3268703,"Non-interacting"
AAED1,0.306183,"Non-interacting"
AAGAB,0.1995443,"Non-interacting"
AAK1,0.1391374,"Interacting"
AAMP,0.03308295,"Non-interacting"
AANAT,0.1501981,"Non-interacting"
AAR2,0.08875065,"Non-interacting"
AARD,0.722729,"Non-interacting"
AARS,0.1249695,"Non-interacting"
AARSD1,0.2049903,"Non-interacting"
AASDH,0.422839,"Non-interacting"
AASDHPPT,0.1359966,"Interacting"
AATF,0.2553748,"Non-interacting"
AATK,0.1814597,"Interacting"
ABCA1,0.09802166,"Interacting"
ABCA12,0.1739509,"Interacting"
ABCA2,0.03125197,"Interacting"
ABCA3,0.09985275,"Interacting"
ABCA4,0.1523389,"Non-interacting"
ABCA5,0.2082663,"Interacting"
ABCA6,0.5932389,"Interacting"
ABCA7,0.2265214,"Interacting"
ABCA8,0.4232804,"Interacting"
ABCB1,0.3172707,"Interacting"
ABCB11,0.2126336,"Interacting"
ABCB4,0.2212041,"Interacting"
ABCB5,0.2784778,"Interacting"
ABCB8,0.161251,"Interacting"
ABCB9,0.06265344,"Interacting"
ABCC1,0.1263602,"Interacting"
ABCC10,0.2148733,"Interacting"
ABCC11,0.387804,"Interacting"
ABCC12,0.2204643,"Interacting"
ABCC2,0.3404955,"Interacting"
ABCC4,0.2010798,"Interacting"
ABCC5,0.04865233,"Interacting"
ABCC6,0.2262126,"Interacting"
ABCC8,0.05469402,"Interacting"
ABCC9,0.1722561,"Interacting"
ABCD2,0.1330452,"Interacting"
ABCD3,0.1345032,"Non-interacting"
ABCE1,0.01895583,"Interacting"
ABCF3,0.05355391,"Interacting"
ABCG1,0.02532312,"Interacting"
ABCG4,0.03282595,"Interacting"
ABCG5,0.3181331,"Interacting"
ABCG8,0.262367,"Interacting"
ABHD1,0.5644776,"Non-interacting"
