A1BG,1,Interacting
A1CF,1,Interacting
A2ML1,1,Not_interacting
A4GALT,1,Not_interacting
A4GNT,0.864056,Not_interacting
AAAS,1,Not_interacting
AACS,1,Not_interacting
AADACL2,1,Interacting
AADACL3,0.969583,Interacting
AADACL4,0.001120651,Interacting
AADAT,1,Not_interacting
AAED1,1,Not_interacting
AAGAB,0.9959316,Not_interacting
AAK1,1,Interacting
AAMP,1,Not_interacting
AANAT,1,Not_interacting
AAR2,1,Not_interacting
AARD,1,Not_interacting
AARS,1,Not_interacting
AARSD1,0.6358401,Not_interacting
AASDH,1,Not_interacting
AASDHPPT,0.9988716,Interacting
AATF,1,Not_interacting
AATK,0.01720846,Interacting
ABCA1,0.7326437,Interacting
ABCA12,1,Interacting
ABCA2,1,Interacting
ABCA3,1,Interacting
ABCA4,1,Not_interacting
ABCA5,1,Interacting
ABCA6,0.9988716,Interacting
ABCA7,1,Interacting
ABCA8,1,Interacting
ABCB11,0.952824,Interacting
ABCB1,1,Interacting
ABCB4,1,Interacting
ABCB5,0.8601333,Interacting
ABCB8,1,Interacting
ABCB9,0.9988716,Interacting
ABCC10,0.005546127,Interacting
ABCC11,1,Interacting
ABCC1,1,Interacting
ABCC12,0.737055,Interacting
ABCC2,0.5652825,Interacting
ABCC4,1,Interacting
ABCC5,0.9926874,Interacting
ABCC6,1,Interacting
ABCC8,1,Interacting
ABCC9,1,Interacting
ABCD2,0.9911873,Interacting
ABCD3,1,Not_interacting
ABCE1,0.9911873,Interacting
ABCF3,0.3488785,Interacting
ABCG1,1,Interacting
ABCG4,1,Interacting
ABCG5,0.9974769,Interacting
ABCG8,1,Interacting
ABHD1,0.08430573,Not_interacting
ABHD10,1,Not_interacting
ABHD12,1,Not_interacting
ABHD12B,1,Interacting
ABHD13,1,Not_interacting
ABHD14A,1,Not_interacting
ABHD14B,0.04718229,Interacting
ABHD15,1,Not_interacting
ABHD16A,1,Not_interacting
ABHD16B,0.6784058,Not_interacting
ABHD17B,0.9962576,Interacting
ABHD17C,0.9988716,Not_interacting
ABHD18,0.2786259,Not_interacting
ABHD2,1,Not_interacting
ABHD3,1,Not_interacting
ABHD4,0.9980456,Not_interacting
ABHD5,1,Not_interacting
ABHD6,1,Not_interacting
ABHD8,1,Not_interacting
ABI1,1,Interacting
ABI2,0.9956298,Interacting
ABI3,1,Interacting
ABI3BP,1,Not_interacting
ABL1,1,Interacting
ABL2,1,Interacting
ABLIM1,0.9960912,Not_interacting
ABLIM2,1,Interacting
ABLIM3,0.4891806,Not_interacting
ABO,8.59E-06,Not_interacting
ABR,0.995778,Not_interacting
ABRA,0.2699164,Not_interacting
ABRAXAS1,1,Not_interacting
ABRAXAS2,1,Not_interacting
ABT1,1,Not_interacting
ABTB1,0.4785272,Interacting
ABTB2,0.7609776,Interacting
ACAA1,1,Not_interacting
ACAA2,1,Not_interacting
ACACA,0.109937,Not_interacting
ACACB,0.8380321,Not_interacting
ACAD10,0.9984042,Not_interacting
ACAD11,1,Not_interacting
ACAD8,0.3267514,Not_interacting
ACAD9,1,Not_interacting
ACADL,1,Not_interacting
ACADM,1,Interacting
ACADS,1,Not_interacting
ACADSB,0.9988716,Not_interacting
ACADVL,1,Not_interacting
ACAN,0.9919419,Interacting
ACAP1,1,Interacting
ACAP2,1,Interacting
ACAP3,0.6339023,Interacting
ACAT1,1,Not_interacting
ACAT2,1,Not_interacting
ACBD3,1,Not_interacting
ACBD4,1,Interacting
ACBD5,1,Not_interacting
ACBD6,1,Interacting
ACCS,1,Not_interacting
ACD,1,Not_interacting
ACE,0.9988716,Interacting
ACE2,1,Interacting
ACER1,1,Not_interacting
ACER2,1,Not_interacting
ACER3,1,Not_interacting
ACHE,1,Not_interacting
ACKR2,1,Not_interacting
ACKR3,0.1618787,Not_interacting
ACKR4,1,Not_interacting
ACLY,0.9984042,Not_interacting
ACMSD,1,Not_interacting
ACO1,1,Not_interacting
ACOD1,0.1185365,Not_interacting
ACOT11,1,Not_interacting
ACOT1,1,Not_interacting
ACOT12,1,Not_interacting
ACOT13,1,Interacting
ACOT2,1,Not_interacting
ACOT4,1,Not_interacting
ACOT6,1,Not_interacting
ACOT7,1,Not_interacting
ACOT8,0.4588674,Not_interacting
ACOT9,1,Not_interacting
ACOX1,1,Not_interacting
ACOX2,1,Not_interacting
ACOX3,1,Not_interacting
ACOXL,0.9324722,Not_interacting
ACP2,1,Not_interacting
ACP5,1,Not_interacting
ACP6,1,Not_interacting
ACP7,1,Not_interacting
ACPP,1,Not_interacting
ACR,1,Not_interacting
ACRBP,1,Not_interacting
ACRV1,0.2811845,Not_interacting
ACSBG1,0.9591307,Not_interacting
ACSBG2,1,Not_interacting
ACSF2,0.4896706,Not_interacting
ACSF3,0.9383298,Not_interacting
ACSL1,0.006071212,Not_interacting
ACSL3,1,Not_interacting
ACSL4,1,Not_interacting
ACSL5,0.8318092,Not_interacting
ACSL6,1,Not_interacting
ACSM1,1,Not_interacting
ACSM3,1,Not_interacting
ACSM4,0.7571751,Not_interacting
